Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC,Mt CO2-equiv/yr,177.16,296.62,597.15,940.62,1092.673894919928,667.893512,183.91304947255284,129.91478500000002,69.7059744084439,75.517728,80.446366,85.57263,90.57634300000001,97.089421,103.48681199999999,109.047653,115.576461,123.19535800000001,130.693849,137.54741,144.986699
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC125,kt HFC125/yr,,,30.57630202,75.03522907,126.9139583,86.44490982,32.72671604,26.55021844,19.7334401,19.40882233,19.16368723,19.81647476,19.64514871,20.57376018,20.94432271,21.61891577,21.95519352,22.74262875,23.16890129,23.83593831,24.2504902
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC134a,kt HFC134a/yr,,,182.7254821,214.7477905,246.9828659,160.4923884,58.35729583,46.2084527,33.60919661,32.69390535,31.90564569,32.31765688,32.03825014,33.06727275,33.66286111,34.48514591,35.02155522,36.15702443,36.83472737,37.8561571,38.51454702
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC143a,kt HFC143a/yr,,,25.15048556,55.80193508,91.43887247,61.01538616,22.7061274,18.08303744,13.2214304,12.7866518,12.40012662,12.3632062,12.2563184,12.34390965,12.56624093,12.43513341,12.62855934,12.49532309,12.72952702,12.45679334,12.67344045
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC227ea,kt HFC227ea/yr,,,10.44788544,6.870438552,2.283766393,1.047901444,0.239036221,0.190912291,0.13994542,0.093983631,0.047580738,0.020302325,0.020126798,0.016982961,0.017288848,0.015626633,0.015869702,0.015020386,0.015301918,0.014666905,0.01492199
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC23,kt HFC23/yr,,,11.07957075,6.927220889,1.636903216,0.8039783220000001,0.207781773,0.125450731,0.065314214,0.052470145,0.039618479,0.019631347,0.019461622,0.009434999,0.009604937,0.00482818,0.004903282,0.0,0.0,0.0,0.0
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC32,kt HFC32/yr,,,20.87633978,50.99615772,86.13754482,57.8531511,21.64831546,17.34140166,12.7456918,12.34978714,12.00093398,12.00515988,11.90136762,12.13369017,12.35223509,12.4950184,12.68937582,12.83891951,13.07956358,13.06302578,13.29021642
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|HFC|HFC43-10,kt HFC4310mee/yr,,,7.509367059,8.877150179000001,10.26345549,6.6937560860000005,2.441902013,1.985676527,1.478854469,1.6268148,1.784696441,1.586637192,1.572919702,1.4277994,1.453516087,1.422106694,1.444227269,1.513679879,1.542051276,1.673427373,1.702531429
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|PFC,Mt CO2-equiv/yr,107.3398,104.3541,90.7198,99.4833,98.04300265801454,60.94041379511001,12.643318968984525,9.855673662580003,5.419059433614901,4.5190271303900005,3.1364230515400005,2.2958822493200004,2.27603288668,2.04169025204,2.0784639783700003,1.38491135509,1.40645336767,1.24389329111,1.2672079947200003,1.2978093861300004,1.3203807370300003
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,World,Emissions|SF6,kt SF6/yr,4.86,5.79,6.96,8.02,8.008376102279316,4.3316,2.401099796334012,2.0323,2.022906226742744,1.7625000000000002,1.615,1.5637,1.5087000000000002,1.4859,1.4613,1.3888,1.3265,1.2477,1.1673,1.0667,0.9678
